LaDainian Tomlinson*+,SDG,RB,27,16,16,2,3,20,2,0,348,1815,5.22,28,80,56,508,9.07,3,2,0,31,0,0,427,481.1,488.1,453.1,269,1,1
Larry Johnson*+,KAN,RB,27,16,16,0,1,0,0,0,416,1789,4.30,17,66,41,410,10.00,2,2,0,19,0,0,334,372.9,379.9,352.4,176,2,2
Steven Jackson*,STL,RB,23,16,16,0,0,0,0,0,346,1528,4.42,13,110,90,806,8.96,3,4,0,16,0,0,329,415.4,423.4,370.4,171,3,3
Peyton Manning*,IND,QB,30,16,16,362,557,4397,31,9,23,36,1.57,4,0,0,0,0,0,2,0,4,0,2,313,311.5,324.5,320.5,122,1,4
Frank Gore*,SFO,RB,23,16,16,0,0,0,0,0,312,1695,5.43,8,86,61,485,7.95,1,6,0,9,0,0,272,327.0,336.0,296.5,114,4,5
Willie Parker*,PIT,RB,26,16,16,0,0,0,0,0,337,1494,4.43,13,42,31,222,7.16,3,7,0,16,0,0,268,291.6,301.1,276.1,109,5,6
Brian Westbrook,PHI,RB,27,15,14,0,0,0,0,0,240,1217,5.07,7,105,77,699,9.08,4,2,0,11,0,0,258,332.6,339.6,294.1,99,6,7
Marvin Harrison*+,IND,WR,34,16,16,0,0,0,0,0,0,0,0,0,148,95,1366,14.38,12,1,0,12,0,0,211,302.6,306.1,255.1,93,1,8
Tiki Barber*,NYG,RB,31,16,16,0,0,0,0,0,327,1662,5.08,5,75,58,465,8.02,0,3,0,5,0,0,243,297.7,305.2,268.7,84,7,9
Terrell Owens,DAL,WR,33,16,15,0,0,0,0,0,0,0,0,0,150,85,1180,13.88,13,0,0,13,1,0,198,283.0,286.0,240.5,80,2,10
Michael Vick,ATL,QB,26,16,16,204,388,2474,20,13,123,1039,8.45,2,1,1,1,1.00,0,9,0,2,0,0,269,261.0,284.5,273.5,77,2,11
Drew Brees*+,NOR,QB,27,16,16,356,554,4418,26,11,42,32,0.76,0,0,0,0,0,0,8,0,0,0,2,266,257.9,275.9,268.9,74,3,12
Reggie Wayne*,IND,WR,28,16,16,0,0,0,0,0,0,0,0,0,137,86,1310,15.23,9,1,0,9,1,0,187,272.0,275.5,229.0,69,3,13
Maurice Jones-Drew,JAX,RB,21,16,1,0,0,0,0,0,166,941,5.67,13,62,46,436,9.48,2,1,0,16,0,0,228,278.7,285.2,255.7,69,8,14
Marc Bulger*,STL,QB,29,16,16,370,588,4301,24,8,18,44,2.44,0,0,0,0,0,0,6,0,0,0,1,258,252.4,266.4,260.4,67,4,15
Antonio Gates*+,SDG,TE,26,16,16,0,0,0,0,0,0,0,0,0,120,71,924,13.01,9,0,0,9,0,0,146,217.4,220.4,181.9,65,1,16
Chad Johnson*+,CIN,WR,28,16,16,0,0,0,0,0,6,24,4.00,0,152,87,1369,15.74,7,1,0,7,0,0,181,267.3,270.8,223.8,64,4,17
Donald Driver*,GNB,WR,31,16,16,0,0,0,0,0,7,16,2.29,0,173,92,1295,14.08,8,1,0,8,0,0,179,270.1,273.6,224.1,62,5,18
Torry Holt*,STL,WR,30,16,16,0,0,0,0,0,0,0,0,0,179,93,1188,12.77,10,2,0,10,0,0,179,269.8,273.8,223.3,61,6,19
Lee Evans,BUF,WR,25,16,15,0,1,0,0,0,0,0,0,0,137,82,1292,15.76,8,1,0,8,0,0,177,258.2,261.7,217.2,60,7,20
Carson Palmer*,CIN,QB,27,16,16,324,520,4035,28,13,26,37,1.42,0,0,0,0,0,0,15,0,0,0,0,251,236.1,259.6,249.1,59,5,21
Reggie Bush,NOR,WR,21,16,8,0,1,0,0,1,155,565,3.65,6,121,88,742,8.43,2,2,0,9,0,0,177,268.7,276.7,225.7,59,8,22
Steve Smith*,CAR,WR,27,14,14,0,0,0,0,0,8,61,7.63,1,139,83,1166,14.05,8,2,0,9,0,0,177,257.7,261.7,216.2,59,9,23
Javon Walker,DEN,WR,28,16,16,0,0,0,0,0,9,123,13.67,1,126,69,1084,15.71,8,0,0,9,0,0,175,243.7,249.7,209.2,57,10,24
Rudi Johnson,CIN,RB,27,16,15,0,0,0,0,0,341,1309,3.84,12,31,23,124,5.39,0,6,0,12,0,0,215,232.3,241.3,220.8,57,9,25
Roy Williams*,DET,WR,25,16,16,0,0,0,0,0,2,2,1.00,0,151,82,1310,15.98,7,2,0,7,0,0,173,253.2,257.2,212.2,56,11,26
T.J. Houshmandzadeh,CIN,WR,29,14,13,0,0,0,0,0,3,6,2.00,0,132,90,1081,12.01,9,0,0,9,0,0,163,252.7,255.7,207.7,45,12,27
Alge Crumpler*,ATL,TE,29,16,16,0,0,0,0,0,0,0,0,0,103,56,780,13.93,8,0,0,8,0,0,126,182.0,185.0,154.0,45,2,28
Jon Kitna,DET,QB,34,16,16,372,596,4208,21,22,34,156,4.59,2,0,0,0,0,0,11,0,2,0,0,236,224.9,258.4,246.9,44,6,29
Plaxico Burress,NYG,WR,29,15,15,0,0,0,0,0,0,0,0,0,116,63,988,15.68,10,2,0,10,0,0,159,219.8,223.8,188.3,41,13,30
Tony Gonzalez*,KAN,TE,30,15,15,0,0,0,0,0,0,0,0,0,104,73,900,12.33,5,1,0,5,1,0,122,194.0,197.5,157.5,41,3,31
Darrell Jackson,SEA,WR,28,13,13,0,0,0,0,0,0,0,0,0,112,63,956,15.17,10,1,0,10,0,0,156,217.6,221.1,186.1,38,14,32
Tom Brady,NWE,QB,29,16,16,319,516,3529,24,12,49,102,2.08,0,0,0,0,0,0,12,0,0,0,2,227,215.4,239.4,227.4,36,7,33
Marques Colston,NOR,WR,23,14,12,0,0,0,0,0,0,0,0,0,115,70,1038,14.83,8,0,0,8,0,0,152,221.8,224.8,186.8,34,15,34
Ladell Betts,WAS,RB,27,16,9,0,0,0,0,0,245,1154,4.71,4,64,53,445,8.40,1,6,0,5,0,0,190,236.9,245.9,210.4,32,10,35
Todd Heap,BAL,TE,26,16,16,0,0,0,0,0,0,0,0,0,116,73,765,10.48,6,0,0,6,0,0,113,185.5,188.5,149.0,31,4,36
Joey Galloway,TAM,WR,35,16,14,0,0,0,0,0,2,9,4.50,0,143,62,1057,17.05,7,0,0,7,0,0,149,210.6,213.6,179.6,31,16,37
Joseph Addai,IND,RB,23,16,0,0,0,0,0,0,226,1081,4.78,7,50,40,325,8.13,1,2,0,8,0,0,189,226.6,233.6,206.6,30,11,38
Chris Cooley,WAS,TE,24,16,16,0,0,0,0,0,0,0,0,0,95,57,734,12.88,6,0,0,6,1,0,111,168.4,171.4,139.9,30,5,39
Laveranues Coles,NYJ,WR,29,16,16,0,0,0,0,0,2,14,7.00,0,152,91,1098,12.07,6,1,0,6,0,0,147,237.2,240.7,191.7,30,17,40
Anquan Boldin*,ARI,WR,26,16,16,0,0,0,0,0,5,28,5.60,0,152,83,1203,14.49,4,1,0,4,0,0,147,229.1,232.6,187.6,30,18,41
Andre Johnson*,HOU,WR,25,16,16,0,0,0,0,0,3,14,4.67,0,163,103,1147,11.14,5,1,0,5,0,0,146,248.1,251.6,196.6,29,19,42
Chester Taylor,MIN,RB,27,15,15,0,0,0,0,0,303,1216,4.01,6,51,42,288,6.86,0,5,0,6,0,0,186,223.4,231.9,202.4,28,12,43
Deuce McAllister,NOR,RB,28,15,13,0,0,0,0,0,244,1057,4.33,10,36,30,198,6.60,0,3,0,11,0,0,186,212.5,226.0,203.5,27,13,44
Mike Furrey,DET,WR,29,16,14,0,0,0,0,0,0,0,0,0,146,98,1086,11.08,6,1,0,6,0,0,145,241.6,245.1,192.6,27,20,45
Terry Glenn,DAL,WR,32,15,14,0,0,0,0,0,3,11,3.67,0,111,70,1047,14.96,6,0,0,6,0,0,142,211.8,214.8,176.8,24,21,46
Kellen Winslow,CLE,TE,23,16,16,0,0,0,0,0,0,0,0,0,120,89,875,9.83,3,1,0,3,0,0,106,193.5,197.0,149.0,24,6,47
Jeremy Shockey*,NYG,TE,26,15,15,0,0,0,0,0,0,0,0,0,115,66,623,9.44,7,0,0,7,0,0,104,170.3,173.3,137.3,23,7,48
